customer_name,customer_mail,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount
Kyle Evans,magnis@vitaenibh.org,Saint Kitts and Nevis,0,48.98804889,65131.25015,6206.922109,53366.13861,37252.55194
Kirestin F. Yang,eleifend.egestas.Sed@tempus.net,South Africa,1,52.77569606,44747.66132,4975.144559,793986.6155,50441.62427
Walter,metus.vitae.velit@CuraePhasellus.co.uk,Antarctica,1,44.09922748,67121.32166,12087.38116,472403.1231,46402.53583
Wing Gray,urna.nec@tempusscelerisquelorem.org,Nepal,1,49.59716524,42433.54619,7335.524826,386057.421,34642.6024
"Daugherty, Veda M.",venenatis.vel.faucibus@iaculisnec.net,Guinea,1,48.30867264,91083.73918,13148.85597,387538.2487,60960.83428
"Armstrong, Hedda N.",magnis.dis@aliquam.org,Equatorial Guinea,0,51.3613807,65245.57379,11554.2723,542777.4892,53496.48183
Julian Alexander,Integer.id.magna@consequatenimdiam.co.uk,Guinea,0,37.40628431,64315.73671,14871.36126,502946.8819,40077.57289
Harriet,amet.orci@tellus.net,Mali,0,47.46701603,58260.57232,4658.41454,507572.635,45271.46081
Tamara Guy,nec.eleifend@orci.org,Nauru,1,61.22413159,79792.13096,14245.53319,497950.2933,68678.4352
Piper,erat.neque@mattisvelitjusto.org,Malawi,0,40.47710314,40727.39196,9725.549901,508528.9957,29556.7932
Olga Serrano,risus@urnasuscipitnonummy.edu,Marshall Islands,0,43.29935025,70187.50328,6841.540577,662176.4851,52954.93121
Quinlan U. Sears,magna@velarcueu.ca,Canada,1,40.8753749,59060.08664,5841.612044,136346.3069,29417.64694
Teegan Barr,non.lorem.vitae@eratVivamus.org,Jersey,1,40.17883971,36929.35124,9719.192898,245664.3652,19553.2739
Michelle W. Ryan,ante.lectus@duiCum.net,Italy,0,47.79216388,86706.33333,9653.26498,333543.693,56499.10202
Kieran Gilliam,ac.nulla@consectetueripsumnunc.co.uk,Bolivia,0,50.75886005,42415.48867,5205.008323,520997.2385,39522.13129
"Sanders, Selma F.",velit.Pellentesque@Nullam.org,Syria,1,41.02339176,54742.3946,10342.60917,447393.4883,36125.48846
Sebastian Marks,et.eros@feugiatmetussit.net,Zimbabwe,0,55.98961549,39488.45582,10992.33383,363561.1972,37714.31659
Quin Smith,nulla@ipsum.edu,Nicaragua,0,44.3964937,37336.3383,10218.32092,430907.1673,28700.0334
Coby Charles,nec@dolornonummyac.com,Cambodia,0,50.50341115,59593.2624,12252.73058,612242.7755,51612.14311
Gemma Hendrix,lobortis@non.co.uk,Denmark,1,46.12403587,100000.0,17452.92179,188032.0778,58350.31809
Graiden Powell,pellentesque.tellus@faucibusidlibero.com,Thailand,1,42.43201208,65714.46469,12557.08133,362707.0273,41026.02421
Gabriel Carson,et@venenatis.co.uk,Equatorial Guinea,0,51.22247207,63869.64928,12860.65824,260269.0963,44418.60955
"Whitaker, Adena B.",pharetra.sed.hendrerit@accumsanneque.com,Equatorial Guinea,0,47.71401166,62175.68945,12967.284,343290.677,42919.5196
"Flores, Caldwell U.",ut@Etiamvestibulum.ca,Western Sahara,0,40.75219483,92471.17612,5404.397644,515717.7476,59096.26978
Laurel H. Snow,dui.Suspendisse.ac@tacitisociosqu.org,Andorra,1,36.40803286,69494.69783,20000.0,335809.6171,37303.56701
Ariana Nash,vel.turpis.Aliquam@consequatpurus.edu,Central African Republic,1,46.69611835,56009.73073,11030.2654,391848.6041,40004.87142
Leilani Gross,dignissim@mollisDuissit.org,Samoa,0,55.78242299,64616.6881,12378.54089,779925.7892,63738.39065
Timothy J. Terrell,orci@lobortis.com,Laos,0,47.68088058,60608.40313,8233.280719,492113.0067,46325.50959
Gil,Phasellus.fermentum@dictumplacerataugue.net,France,0,62.07084214,63956.1618,16978.52745,360787.6401,56510.13294
"Livingston, Lucas K.",porttitor.scelerisque@Aliquam.ca,Uruguay,0,50.27457289,74176.2079,11894.4244,290608.3977,50296.67496
Chancellor Patel,metus.eu.erat@suscipitnonummy.com,Heard Island and Mcdonald Islands,1,38.40326499,47127.41632,10221.15388,427011.4954,29052.09521
Lael Wright,a@consequatpurusMaecenas.com,Bhutan,1,46.26908486,58457.41492,12491.01273,410655.9947,41567.47033
Nell,Quisque.varius@arcuVivamussit.net,Botswana,1,59.16050864,49811.99062,14013.03451,337826.6382,45442.15353
Kane,iaculis.quis.pede@adipiscingenim.net,Slovakia,0,40.20042717,76086.84122,9258.181529,482866.5457,48465.27211
Alfreda V. Harrell,molestie@mi.net,Algeria,1,37.26933248,68691.17086,16305.78907,619707.4203,45805.30588
Clementine X. Powell,quis.pede@Aliquamfringilla.ca,Papua New Guinea,0,41.86361457,51539.93045,6932.950306,371355.6935,32828.03477
Rooney R. Padilla,eu.turpis@accumsansed.co.uk,Philippines,0,45.26036406,68499.69447,15436.79968,308445.8598,43401.56612
Dexter,est.arcu@in.org,Senegal,1,43.17653402,57376.4803,12878.54582,376886.359,37376.63439
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,Brazil,1,57.31374945,59729.1513,5358.712177,560304.0671,55915.46248
Taylor A. Patel,erat.vitae.risus@temporarcu.edu,Jamaica,1,37.94194499,74590.25495,5614.004976,573441.9724,48349.16457
Wayne,molestie.orci@condimentum.com,Cape Verde,1,52.49932303,67729.9725,10279.91264,314885.1345,49248.10595
Travis Burks,dictum@liberolacusvarius.ca,Namibia,1,52.65668022,61858.19077,5189.083564,706977.053,57441.44414
Bell K. Romero,non.sapien.molestie@rhoncus.edu,Saint Pierre and Miquelon,1,39.01360284,69897.75291,9624.908869,565814.725,46389.50237
Rafael,nonummy.Fusce@sem.net,Angola,0,43.57614914,59801.06311,8042.386734,601744.9607,45593.6849
Velma K. Moses,augue.scelerisque@luctuslobortis.com,Guam,1,47.44390371,73096.50927,10743.793,196421.7402,44577.44829
Chancellor Padilla,pharetra@nuncsedlibero.edu,Bahamas,1,47.44707409,40346.06491,11505.89906,255922.473,27889.95197
Emerald Hamilton,sit.amet.orci@facilisis.edu,Egypt,0,48.92140102,68502.10943,5831.118245,515084.1891,52474.71839
Derek X. Richards,tincidunt@porttitor.com,Croatia,1,45.27895873,66747.66857,9691.23462,221290.9818,39904.81613
Indigo P. Dejesus,quam.Pellentesque.habitant@felis.com,Cocos (Keeling) Islands,0,38.83483235,77165.81297,8737.20319,478853.3217,47805.25605
Gwendolyn Rice,Duis@metusIn.com,Laos,0,42.09853578,71847.2544,4225.328117,476088.3996,47483.85316
Kenneth Pope,vitae.sodales.at@molestiearcuSed.org,Argentina,0,51.16813904,57478.37922,2230.096344,158979.7102,37843.46619
